Month,Car,Location,Weather,TypeOfTrigger,ReactionTime,Cause
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.01,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.01,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.42,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.5,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.62,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Software Froze
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.33,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.13,Hardware Fault
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.33,Adverse road surface conditions
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,System Tuning and Calibration
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.57,Software Froze
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.34,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.74,Hardware Fault
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.52,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.15,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.72,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.3,Position Estimation Failure
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Software Froze
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,1.14,Incorrect Traffic Light Detection
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.68,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,automatic,0.05,Emergency Vehicle
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Software Froze
14-Oct,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,System Tuning and Calibration
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,0.99,Unwanted Driver Discomfort
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,0.43,Position Estimation Failure
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,0.71,Software Froze
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Emergency Vehicle
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,0.3,Emergency Vehicle
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,0.25,Emergency Vehicle
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect Traffic Light Detection
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Emergency Vehicle
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,0.35,Incorrect Traffic Light Detection
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,2.47,Incorrect Traffic Light Detection
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,1.13,Emergency Vehicle
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,0.56,Incorrect Traffic Light Detection
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Recklessly behaving agent
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,1.19,Position Estimation Failure
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Position Estimation Failure
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,0.56,Software Froze
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,0.79,Position Estimation Failure
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Emergency Vehicle
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,2.69,Adverse road surface conditions
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,1.38,Adverse road surface conditions
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,System Tuning and Calibration
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,2.83,Incorrect Traffic Light Detection
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,4.84,Position Estimation Failure
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,0.25,Adverse road surface conditions
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,1.75,Emergency Vehicle
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,0.88,Emergency Vehicle
14-Nov,WDD2221851A001072,urban-street,cloudy,automatic,1.48,Emergency Vehicle
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Unwanted Driver Discomfort
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
14-Nov,WDD2221851A001072,urban-street,cloudy,manual,,Incorrect behavior prediction of others
